epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1008.64,0.64106,0.49069,1.04347,0.68535,0.85522,0.81686,0.62214,0.87972,0.91715,1.2545,0.000714485,0.000714485,0.000714485
43,1031.72,0.63287,0.49357,1.0309,0.68533,0.78127,0.79769,0.5925,0.87769,0.9048,1.24945,0.000697821,0.000697821,0.000697821
44,1054.48,0.62259,0.48627,1.03672,0.84875,0.77913,0.85078,0.63322,0.88478,0.91061,1.25076,0.000681022,0.000681022,0.000681022
45,1077.65,0.60023,0.46015,1.02298,0.76946,0.70942,0.77864,0.58635,0.87089,0.87371,1.24215,0.000664104,0.000664104,0.000664104
46,1100.38,0.61514,0.47999,1.02966,0.69663,0.80382,0.81181,0.63172,0.88983,0.87002,1.30425,0.000647085,0.000647085,0.000647085
47,1123.97,0.59165,0.45488,1.01593,0.72427,0.68727,0.74692,0.58523,0.84726,0.87578,1.23216,0.000629981,0.000629981,0.000629981
48,1146.46,0.58587,0.45088,1.01187,0.88052,0.6849,0.76279,0.58951,0.87615,0.86606,1.28169,0.000612809,0.000612809,0.000612809
49,1169.51,0.58448,0.45414,1.01377,0.88671,0.7258,0.79208,0.58998,0.88793,0.85182,1.28083,0.000595586,0.000595586,0.000595586
50,1192.34,0.57248,0.45139,1.00845,0.69866,0.7635,0.75292,0.57713,0.90958,0.94852,1.30918,0.000578329,0.000578329,0.000578329
51,1215.43,0.5582,0.43081,0.99569,0.76979,0.74131,0.75851,0.58564,0.85389,1.03137,1.23871,0.000561055,0.000561055,0.000561055
52,1238.56,0.56668,0.43547,1.01302,0.79668,0.70023,0.76337,0.60334,0.86108,1.02551,1.24815,0.000543781,0.000543781,0.000543781
53,1263.16,0.54962,0.41188,0.9959,0.68015,0.74987,0.75754,0.59004,0.88182,0.96773,1.27939,0.000526524,0.000526524,0.000526524
54,1287.72,0.55685,0.42929,1.00214,0.77464,0.71249,0.80687,0.63383,0.88007,0.85648,1.26493,0.000509301,0.000509301,0.000509301
55,1312.34,0.54341,0.40746,0.99295,0.66155,0.75113,0.76495,0.61768,0.85167,0.97198,1.25719,0.000492129,0.000492129,0.000492129
56,1336.88,0.54079,0.40459,0.99085,0.77314,0.68024,0.72062,0.57091,0.8671,1.1401,1.2684,0.000475025,0.000475025,0.000475025
57,1361.66,0.53451,0.40159,0.9918,0.83236,0.78084,0.80225,0.62424,0.87143,0.92454,1.29209,0.000458006,0.000458006,0.000458006
58,1385.32,0.5265,0.39513,0.98166,0.7628,0.68876,0.75918,0.59925,0.86062,1.0081,1.28445,0.000441088,0.000441088,0.000441088
59,1408.68,0.51702,0.39059,0.97628,0.71055,0.76376,0.79049,0.61259,0.8519,0.93429,1.25701,0.000424289,0.000424289,0.000424289
60,1432.04,0.51308,0.39345,0.97902,0.76662,0.74061,0.81905,0.637,0.80872,0.823,1.24441,0.000407625,0.000407625,0.000407625
61,1456.19,0.50004,0.38212,0.96986,0.7619,0.78696,0.81457,0.64283,0.84896,0.94107,1.26233,0.000391113,0.000391113,0.000391113
62,1480.2,0.49799,0.3675,0.97246,0.68818,0.74531,0.77369,0.60944,0.86203,0.94419,1.2659,0.000374768,0.000374768,0.000374768
63,1503.53,0.49356,0.36581,0.96209,0.81706,0.78359,0.82143,0.65062,0.88027,0.93443,1.30367,0.000358607,0.000358607,0.000358607
64,1526.89,0.48307,0.36088,0.97056,0.73852,0.76856,0.77465,0.59465,0.87833,1.05072,1.32065,0.000342646,0.000342646,0.000342646
65,1549.94,0.48657,0.36321,0.96059,0.73867,0.80874,0.81698,0.65087,0.829,0.8395,1.25744,0.0003269,0.0003269,0.0003269
66,1573.05,0.47085,0.35697,0.961,0.6824,0.83125,0.81083,0.64846,0.83966,0.9785,1.2562,0.000311385,0.000311385,0.000311385
67,1595.92,0.46349,0.35426,0.95515,0.82325,0.6765,0.76726,0.61127,0.84542,0.92801,1.26598,0.000296117,0.000296117,0.000296117
68,1618.3,0.46005,0.35406,0.96001,0.74074,0.78817,0.80448,0.64398,0.8354,0.86952,1.25416,0.00028111,0.00028111,0.00028111
69,1641.3,0.44626,0.33257,0.95112,0.66691,0.82964,0.83469,0.6672,0.83344,0.88124,1.26664,0.00026638,0.00026638,0.00026638
70,1664.88,0.45016,0.34142,0.94859,0.76835,0.7526,0.83153,0.6544,0.83379,0.84708,1.25869,0.00025194,0.00025194,0.00025194
71,1687.76,0.44047,0.32742,0.94763,0.74791,0.79452,0.80953,0.6451,0.83155,0.95431,1.26823,0.000237805,0.000237805,0.000237805
72,1710.04,0.43701,0.32999,0.94822,0.72234,0.79198,0.80283,0.6332,0.79821,0.85938,1.23462,0.00022399,0.00022399,0.00022399
73,1732.14,0.43195,0.31712,0.94062,0.78256,0.78899,0.82991,0.65608,0.80542,0.87174,1.24446,0.000210507,0.000210507,0.000210507
74,1754.16,0.43504,0.32333,0.94641,0.81025,0.73157,0.8093,0.64624,0.8049,0.90268,1.23421,0.00019737,0.00019737,0.00019737
75,1776.28,0.42482,0.31976,0.94382,0.70392,0.70125,0.78546,0.62428,0.81826,0.98045,1.25826,0.000184592,0.000184592,0.000184592
76,1801.04,0.41903,0.31518,0.94047,0.78754,0.71448,0.80984,0.6385,0.81512,0.85547,1.25981,0.000172185,0.000172185,0.000172185
77,1825.79,0.4216,0.31839,0.94413,0.74275,0.80701,0.80528,0.64554,0.82114,0.87975,1.26277,0.000160162,0.000160162,0.000160162
78,1849.59,0.40378,0.30545,0.93236,0.82057,0.71325,0.79858,0.63766,0.80403,0.82789,1.25533,0.000148535,0.000148535,0.000148535
79,1872.39,0.40224,0.30199,0.93427,0.75752,0.76114,0.7948,0.6371,0.80504,0.95178,1.2541,0.000137315,0.000137315,0.000137315
80,1896.18,0.40761,0.30931,0.93809,0.73639,0.81465,0.80075,0.63912,0.80612,0.8964,1.26483,0.000126513,0.000126513,0.000126513
81,1920.26,0.39776,0.29594,0.93153,0.75116,0.79177,0.81314,0.64445,0.82507,0.92165,1.27635,0.00011614,0.00011614,0.00011614
82,1944.5,0.39659,0.29998,0.93464,0.79654,0.75184,0.80319,0.64056,0.8119,0.90572,1.27226,0.000106206,0.000106206,0.000106206
83,1967.48,0.3826,0.28656,0.92921,0.76324,0.78254,0.81153,0.65191,0.80339,0.87243,1.2649,9.67211e-05,9.67211e-05,9.67211e-05
84,1990.56,0.39117,0.29652,0.92956,0.75363,0.80653,0.81633,0.65135,0.81034,0.83126,1.27511,8.76942e-05,8.76942e-05,8.76942e-05
85,2013.59,0.37319,0.28587,0.92148,0.78681,0.79423,0.84281,0.66733,0.82338,0.82573,1.28505,7.91345e-05,7.91345e-05,7.91345e-05
86,2036.73,0.38503,0.29394,0.92534,0.82974,0.80306,0.83057,0.65035,0.81865,0.85362,1.28326,7.10504e-05,7.10504e-05,7.10504e-05
87,2059.26,0.38719,0.29139,0.92773,0.86587,0.773,0.84517,0.66487,0.81446,0.80407,1.27845,6.34499e-05,6.34499e-05,6.34499e-05
88,2081.75,0.3777,0.28343,0.92679,0.85425,0.75191,0.82945,0.65081,0.82479,0.84946,1.27692,5.63404e-05,5.63404e-05,5.63404e-05
89,2104.18,0.38847,0.29379,0.93328,0.81626,0.775,0.82148,0.65723,0.82024,0.86311,1.27719,4.97291e-05,4.97291e-05,4.97291e-05
90,2127.32,0.36865,0.28735,0.91894,0.83259,0.78704,0.82648,0.66654,0.81486,0.86254,1.27312,4.36223e-05,4.36223e-05,4.36223e-05
